,Obesity,"$25-$49,999","$50-$74,999","$75,000 or More",Ages 18-44,Ages 45-64,Ages 65+,American Indian/Alaska Native,Asian,Black,College Grad,Female,Hawaiian/Pacific Islander,High School Grad,Hispanic,"Less Than $25,000",Less Than High School,Male,Multiracial,Other Race,Some College,White,abbreviation,LAT,LONG
New York,27.6,32.1,31.9,25.7,25,31.7,27,32.1,12.4,33.1,22.7,27.3,34.9,33.6,31.4,33,32.8,27.9,32.3,24,31.1,27.4,NY,40.7056258,40.7056258
Ohio,34,35.4,38.1,34.8,30.8,39.1,32.7,0,0,36.1,30.6,34.3,0,39,43.3,40.2,34.1,33.8,36.5,0,37.9,34,OH,40.1903624,40.1903624
Oklahoma,34.8,38.4,36.9,35.3,33.6,40.1,29.4,38,0,43.4,33.4,37,0,37.3,32.5,37.3,35.8,32.8,35.5,0,38,34.6,OK,35.3097654,35.3097654
Oregon,29.9,32.8,33.5,28.6,26.1,36.7,27.9,43.3,0,38.4,25,30.8,0,34.7,34.8,37.3,39.1,29.2,31.8,0,34.4,29.6,OR,44.1419049,44.1419049
Pennsylvania,30.9,35.5,34.5,30.8,27.4,37.3,28.3,0,0,41.9,27,30.8,0,35.2,34.9,34.4,26.6,30.9,18.6,0,39.7,29.9,PA,40.9945928,40.9945928
Rhode Island,27.7,32,25.5,26.1,24.2,33,26.6,0,0,37.4,22.9,27,0,32.5,32.2,34.9,36.8,28.4,34.1,28.5,30.2,26.2,RI,41.5827282,41.5827282
South Carolina,34.3,39.7,35.4,30.5,31.5,40,31.5,43.7,0,41.8,29.4,36.2,0,39,27.7,41.3,39.5,32.3,27.3,29,38.6,32.1,SC,33.62505,33.62505
South Dakota,30.1,31.3,31,30.5,25.9,34.6,31.8,47.5,0,0,29.6,28.7,0,31,26.6,41.8,36.5,31.1,42.6,0,35.7,29.1,SD,44.2126995,44.2126995
Tennessee,34.4,34.7,41,31.9,31.5,40.5,30.7,0,0,42.7,29.5,35.3,0,38.9,33.9,40.5,35.1,33.5,45.8,0,37.4,33.3,TN,35.830521,35.830521
Texas,34.8,38.7,43.2,32.2,32.4,38.2,35.3,54.1,10,39.6,29.6,36.2,0,42.3,38.6,39.7,40.1,33.5,22.7,25,38.2,33.1,TX,31.1693363,31.1693363
Utah,27.7,32.3,32.3,27.7,24.5,33.5,29.2,40.6,15.3,40.9,25.1,26.8,0,34.1,30,33,32,28.7,40.7,0,31.2,27.1,UT,39.4997605,39.4997605
Virginia,30.3,34.8,37.5,28.4,26.5,36.4,29.2,29.4,13.4,40.2,25.5,30.2,0,36.3,27.7,41.4,36.8,30.4,37.1,0,36.9,29.3,VA,38.0033855,38.0033855
Vermont,27.5,31.5,32.9,23.5,24.8,32.3,25.4,37.6,0,0,19.5,27.2,0,37.8,0,35.7,34.6,27.7,20.4,0,30.4,28,VT,43.8717545,43.8717545
Washington,28.7,34.7,33.3,27.9,25.8,33.9,26.9,30.2,9.8,34.6,21.5,28,35.8,35.9,36.8,34.4,33.5,29.4,32.6,33.5,35.3,29.4,WA,38.8993487,38.8993487
Wisconsin,32,35.6,35.5,28.9,31.6,34.9,28.4,46.7,0,35.8,25.1,33.1,0,38.4,40.3,37,32.8,31,33.8,38.7,35.3,31.4,WI,44.7862968,44.7862968
West Virginia,39.5,40,43.8,40,37.9,45.4,34,0,0,43.4,37.5,38.5,0,42.3,0,45.9,44.8,40.6,34.7,0,42,39.9,WV,38.9201705,38.9201705
Wyoming,29,29.4,34.1,29.3,24.9,36.6,26.4,0,0,0,24.6,27.8,0,29.7,33.9,37.7,32.9,30.2,0,0,37.4,28.4,WY,43.000325,43.000325
